ID	X1	X2	X6	X8	X9	X10	X11	X13	X14	X15	X16	X17	X18	X19	X20	X22	X23	X25	X27	X30	X31	X32	X33	X34	X35	Kabul
X102	0.3	2.6976	10.4812			7.5	0.3	0.15		1.6592	3.5239	2	1.3	4.3284	0.4	1.9164		0.5			0.5035			33.2318	37.2602	1
X103	0.245	5.3145	7.3765		9.2206	5				1.6056		2.5	2	6.7434	0.4			1				0.3		34.9622	41.4606	0
X104	0.225	5.3145	6.7743		2.8226	5				1.2556		2.5	2	5.2734	0.4			1				0.3		27.592	32.6404	0
X105	0.28	5.462	8.4302			6				1.2296		2	2	5.1644	0.4			1				0.3		27.1018	31.9862	0
X106	0.35	5.462	10.5378	3.199		11			2	2.0891	3.8826	2.5	2.5	10.9676	0.4			1				0.3		45.2205	55.8381	0
X107	0.265	9.3933	7.9786	4		9			1.6	2.0148	3.1237	2	2.5	8.4621	0.4			1				0.3		43.5754	51.7725	0
X108	0.275	7.8232	11.9021			8				1.7617	2	2.5	2	7.3991	0.4			1			0.3086	0.3		38.2706	45.3947	0
X109	0.275	7.8232	11.9021			8				1.8367	3.5	2.5	2	8.8712	0.4			1			0.3086	0.3		39.8456	48.4418	0
X110	0.275	7.8232	11.9021			8				1.8367	3.5	2.5	2	7.7141	0.4			1			0.3086	0.3		39.8456	47.2847	0
X111	0.45	5.462	21.1697		3	8.5				2.3628	3.4248	2.5	2.5	9.9239	0.4			1				0.3		51.0693	60.5432	0
X112	0.565	5.462	26.5797		3	8.5				2.6333	3.4248	2.5	2.5	11.06	0.4			1				0.3		56.8648	67.3598	0
X113	0.49	9.462	23.0515			10				2.7037	6.3603	2.5	2	11.3555	0.4			1				0.3		58.2675	69.133	0
X114	0.47	8.462	22.1106			9				2.4588	4.4033	2.5	2	10.3269	0.4			1				0.3		53.1047	62.9616	0
X115	0.195	5.462	6.7517			6.5				1.3673		2	2	5.7428	0.4			1				0.3		25.976	35.4567	0
X116	0.23	6.0732	10.7335		4	9				1.8658	2	2.5	2	7.8362	0.4			1			0.3086	0.3		40.4111	48.0173	0
X117	0.23	6.0732	10.7335		4	9				1.8658	2	2.5	2	7.8362	0.4			1			0.3086	0.3		40.4111	48.0173	0
X118	0.715	9.462	29.0617			10				2.9748	5.7732	2.5	2	12.4943	0.4			1				0.3		64.1867	75.966	0
X119	0.63	9.462	21.339			10				2.5324	4.6479	2.5	2	10.6363	0.4			1				0.3		54.8113	64.8176	0
X120	0.65	5.462	26.4198		3	8.5				2.6345	3.1087	3	2.5	11.065	0.4			1				0.3		56.975	67.39	0
X121	0.88	4.4722	25.4637			16				5.225	49.5646	2	2	21.9451	1	7.3143		1.3167						115.2365	140.3016	0
X122	0.57	3.2887	14.9349		2	7.7				1.8705	4.4864	3	1.5	8.4453	0.5			1						40.8505	48.7258	1
X123	0.65	3.2887	17.031		4	14			4.5	2.6442	3.8266	3.2	1.5	10.8981	0.5			1						56.1405	66.3886	1
X124	0.235	3.2887	5.6701		4	3.7				1.0493	0.5278	1.5	1.5	4.4072	0.5			1				0.3		23.2709	27.4431	1
X125	0.235	3.2887	5.6701		2	3.6				0.9443	0.5278	1.5	1.5	3.9662	0.5			1				0.3		21.0659	24.7971	1
X126	2.25	2.8761	65.3794			20				4.6278		1.8	2	19.4367	0.5	6.4782		1.1662						107.0777	124.2644	0
X127	0.41	9.411	13.5025		3.7854	12				2.1949		2.5	2	9.2188	0.4			1				0.3		47.5038	56.3126	0
X128	0.35	9.411	11.5266			12				1.9069		2.5	2	8.0089	0.4			1				0.3		41.3945	49.0534	0
X129	0.535	5.479	24.7073		3	8.5				2.5599	3.3122	3	2.5	10.7517	0.4			1				0.3		55.2934	65.5101	0
X130	0.56	5.479	17.3826			13			4.8	2.5268	4.675	2.5	2	10.6127	0.4			1				0.3		54.6234	64.6761	0
X131	0.23	6.3474	8.8806		4	9				1.7869	2	2.5	2	7.5049	0.4			1			0.3097	0.3		38.7546	46.0295	0
X132	0.23	5.9609	5.5045			4.5				1.0083		2	1.5	4.2347	0.4			1				0.3		22.4037	26.4084	0
X133	0.23	5.9609	5.5045		1.6	4.5				1.0883		2	1.5	4.5707	0.4			1				0.3		24.0837	28.4244	0
X134	0.23	5.9609	5.5045		2.5	4.5				1.1333		2	1.5	4.7597	0.4			1				0.3		25.0287	29.5584	0
X135	0.18	5.9609	4.3924			4.5				0.9527		2	1.5	4.0012	0.4			1				0.3		21.186	25.0072	0
X136	0.27	3.1275	8.6218		1.4017	7.5				1.3541	1.2	2.7	1.75	5.6871	0.5			1			0.2803			29.7054	35.1225	1
X137	0.185	1.8872	7.5064			4.5		1.166		1.2135	1.4973	2.3	1.3125	5.0966	0.6	1.7323	3.5	0.9174						28.3176	33.2292	0
X138	0.215	1.8872	16.5448			5.5		1.166		1.4655		2.3	1.3125	6.1552	0.6	2.0922		1.1079						34.1911	40.1313	0
X139	0.44	3.127	10.123			10.5			0.8	1.554	1.3	2.7	1.75	6.5269	0.5			1			0.2803			34.0743	40.1612	0
X140	0.375	3.127	7.4378			6.5			0.8	1.1182		2.5	1.5	4.6966	0.5			0.2818						24.1398	28.4614	1
X141	0.275	2.5208	6.7512		2.9	4				1.0211		2	1.75	4.2886	0.5			0.2573						21.9754	25.989	1
X142	0.72	3.127	18.8345		3	7.5				1.8706		2.7	1.75	9.0349	0.5			0.4832						40.4853	48.8002	1
X143	0.275	10.3734	9.9827			9				1.6803		2	1.75	6.3516	0.5			1						36.5614	42.638	1
X144	0.32	7.7983	8.91			9.5	0.598			1.6768	1.5	2.7	1.75	7.0427	0.5			1			0.2803			36.5334	43.2561	1
X145	0.6	3.6907	15.9244			9.6				1.902	4.275	2.5	1.5	10.3849	0.35			1				0.2		41.5421	51.327	1
X146	0.35	2.8611	21.7			6.503	0.3	0.15		2.1266	1.85	1.65	1.5	5.5476	0.4	2.4562					0.0698			41.9167	47.1143	0
X147	0.54	5.4666	15.3425		3	8.5				2.0336	2.1624	3	2.5	8.541	0.4			1				0.3		44.2451	52.2461	0
X148	0.6	9.4666	16.0175			10				2.3128	5.0722	3	2	9.7138	0.4			1				0.3		50.1691	59.2829	0
X149	0.39	9.3691	10.4114			8				1.7205	1.4301	2.5	2	7.2262	0.4			1				0.3		37.5211	44.3573	0
X150	0.52	10.8191	13.8819			10				2.0666	1.4301	2.5	2	8.6795	0.4			1				0.3		44.9177	53.0772	0
X151	0.63	8.3191	16.8184		2.2	9				2.259	3.4419	2.7	2	11.148	0.4			1				0.3		49.0684	59.5864	0
X152	0.54	5.3151	14.4158			9.5				1.903	3.6291	2.5	2	8.9917	0.4			1				0.3		41.503	49.9547	0
X153	0.63	8.3191	16.8184		2.2	11			4	2.5724	3.9097	2.5	2	10.8039	0.4			1				0.3		55.6496	65.8235	0
X154	0.6	5.4666	18.7634		0	8.5				2.0633	2.3359	3	2.5	8.6658	0.4			1				0.3		44.9292	52.995	0
X155	0.24	1.8081	19.0609			9				1.7385		3	1.4	9.1269	0.5	2.535		0.4563						39.7388	48.6257	0
X156	0.64	9.4666	15.6209			10				2.2396	4.0044	3	2	9.4063	0.4			1				0.3		48.6715	57.4378	0
X157	0.6	5.3151	14.8735			9.5				1.901	3.1314	2.5	2	8.9822	0.4			1				0.3		41.521	49.9032	0
X158	0.7	8.3191	17.3524		2.2	11			4	2.5991	3.9097	2.5	2	10.9161	0.4			1				0.3		56.2803	66.4964	0
X159	0.6	10.0691	14.8735			9				2.0286	1.4301	2.5	2	8.5203	0.4			1				0.3		44.2013	52.1216	0
X160	0.42	9.3691	10.4114			8				1.7205	1.4301	2.5	2	7.2262	0.4			1				0.3		37.5511	44.3573	0
X161	0.69	8.3191	17.1045		2.2	9				2.2733	3.4419	2.7	2	11.2186	0.4			1				0.3		49.4288	59.9574	0
X162	0.395	9.7645	17.5492			16			2	4.1725	6.8781	10	1.5	19.2575	0.5	7.0097								75.769	94.6315	0
X163	0.28	2.6958	7.0765			6.51	0.3	0.15		1.14	4	1.65	1.3	4.3474	0.4	1.6302					0.0698			27.2023	31.2697	0
X164	0.28	2.6958	7.0765			6.51	0.3	0.15		1.1579	4	1.65	1.3	4.4159	0.4	1.6559					0.4503			27.6264	31.7623	0
X165	0.98	1.8131	28.5371			9.5				2.7028	9.9061	1.8	2	11.3518	0.5	3.7836		0.6811						62.2038	72.5756	0
X166	0.24	1.8131	19.1625			4.5				1.6484	3.9922	2	1	6.9232	0.5	2.3075		0.4154						37.5791	44.2623	0
X167	0.2	3.135	4.5861		3	3.5				0.9708	0.3552	2.5	1.5	3.0581	0.5				0.34					20.5871	23.4452	1
X168	0.21	0.86	4.9733		2	4				0.9441	1.5778	2.5	2	3.965	0.5				0.47					20.0352	23.7902	1
X169	0.21	2.5	4.9733		2	3.5				0.9051	0.3778	2	1.8	2.8509	0.5				0.45					19.2162	21.8571	1
X170	0.26	1.8131	6.89		8.5	4.5				1.3914	0.825	3	1.5	7.3049	0.5	3.9118		0.7305				0.3		34.1218	41.1667	1
X171	0.49	1.8131	13.965			8				2.1933	5.2875	4	1.5	11.6529	0.5	6.1809	8.5	1.1542				0.3		53.884	65.0469	1
X172	0.225	3.93	7.4107		5	4.85				1.4013	0.5646	3.5	1.8	4.414	0.5				0.47					29.6516	33.8406	1
X173	0.48	4.0136	12.0893			5.5				1.3567		3	1.5	4.1939	0.5			1						29.4396	33.1535	0
X174	0.68	2.7436	17.8933			11				2.1143	5.15	3	2	11.1003	0.5			1						46.0812	56.5015	1
X175	0.25	2.3554	6.1086			7				1.0189	1.0137	2	1.5	5.3492	0.4			1						22.6466	27.7458	1
X176	0.3	2.3554	10.2			7				1.2078	0.7	2	1.5	6.3408	0.4			1						26.6632	32.704	1
X177	0.25	2.3386	6.1099			3.9				0.8384	0.5189	2	1.5	2.6409	0.4			1						18.8558	21.2467	0
X178	0.48	3.9953	15.6835			5.5				1.5391		3	1.5	4.7577	0.5			1						33.1979	37.4756	0
X179	0.58	1.38	17.5234			14				2.6074	5.5336	3.5	3.5	10.9509	0.8		5	3.2853	0.91					58.6197	68.9906	1
X180	0.54	2.9733	15.8666			9				3.4563	12.8866	4.7	1.2	14.5166	0.5	4.8384	22	0.871						78.8322	92.8088	0
X181	0.937	2.9733	23.2041			10				2.8426	3.974	2.5	1.2	20.8213	0.5	4.4726	12.5	0.8052						65.9088	85.7931	1
X182	0.33	2.6118	8.7923			7	0.5984			1.2951	2	2	2	4.0796	0.4			1			0.3	0.2		28.5276	32.2772	0
X183	0.8	13.4927	27.9666	2.0975	1.5	11		1.9		8.0502	6.9451	5	2.5	13.2828	0.6	6.7848		2.5459					7.5	98.6828	111.1656	0
X184	0.11	5.0322	3.4096			2.25				0.5337		1.5	0.7	2.0813	0.25	0.8864		0.1596				0.2		15.0315	17.0028	0
X185	0.22	2.5778	6.49			8.5	0.3	0.15		1.5782	5.1425	1.8	1.3	4.117	0.4	1.8228					0.7864			31.0677	34.9647	1
X186	0.91	2.2017	26.2697			8		0.5		2.1236		3	2	8.919	0.5	2.9727		0.5351						49.0128	57.0218	0
X187	0.54	2.972	15.8285			13.5				3.6778	12.8557	4.7	1.2	15.4468	0.5	5.1484	22	0.9268						83.8492	98.756	0
X188	0.35	2.9815	20.65			6.4		0.15		2.0233	1.25	2	1.3	5.2781	0.4	2.3369					0.0558			39.8975	44.8256	1
X189	1.15	1.38	49.6197			20			4.5	5.093	17.7	3.5	3.5	21.3905	0.8			6.4172	0.86					114.5199	134.7604	1
X190	1.87	10.221	50.3276			15				4.3939	3.4788	7	1.5	18.4543	0.35	6.2726		3.3218						103.7357	120.32	1
X191	0.41	1.38	12.915			8				1.9544	10.4325	3	2	7.3875	0.5			2.4215	0.86					43.8734	50.8509	1
X192	0.5	0.08	13.6444		1.8	10				1.7349	2.724	3	2	9.1083	0.5			0.9108	0.95					37.8441	46.4524	0
X193	0.15	2.198	5.0845		2.5	4				0.8541		1.8	1	3.5873	0.5	1.1957		0.2152						19.4975	22.9348	0
X194	0.635	3.758	21.5245			10				2.4459	5.3353	1.8	1	10.2727	0.5	3.4239	5	0.6164						56.039	65.6767	0
X195	0.235	2.4622	6.0785			8		0.2		1.5914	3.976	2	1.4025	5.252	0.5	1.838		0.3151	0.48		0.108		1.0527	30.2394	35.2564	1
X196	0.265	2.8733	6.8766			9		0.2		1.7561	3.1108	2	1.8	5.7957	0.5	2.0283	0.6	0.3477	0.48		0.4793		1.0586	33.3757	38.9064	1
X197	0.31	1.135	15.035			7.8				1.8143	6.2966	3	2	5.7151	0.5			2.1908	0.52					40.6017	46.0068	1
X198	0.965	1.9631	27.669			12				2.6923	0.4129	5	2	16.9612	0.5	7.8717	4	1.47				0.3		66.844	82.8402	0
X199	0.34	2.6259	10.2686			7	0.6024			1.3948	2.5	2	2	4.3938	0.4			1			0.3	0.2		30.6317	34.6855	0
X200	0.71	4.3417	18.5053			9.2			1.7	2.0846	0.4949	2.7	1.75	8.7553	0.5		2.5	1						45.4865	53.5318	1
X201	0.56	4.1417	14.6223		2.5	10			1.6	1.9154	0.4949	2.7	1.75	8.0449	0.5			1						41.7843	49.2692	1
X202	0.44	3.1433	10.1462		2	7.5			0.8	1.5061	1.3	2.7	1.75	6.3256	0.5			1			0.2823			33.0679	38.9535	1
X203	0.215	1.8168	5.1524			4.8				5.8979		3.5	2	13.7618	0.5	7.3694	28	1.3762				0.3	3.08	64.0077	77.5545	0
X204	1.65	12.1704	54.0738			13.25		1.1789		4.6137	3.5	6	1.5	19.3774	0.6	6.5544		2.9066						107.9978	125.7252	1
